timestamp,c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713514391,21.56329,48.0827,19.94,1000.72,40.57,22.72511,70.94072
1713514401,21.56329,48.0354,19.94,1000.63,40.63,22.80568,70.86747
1713514411,21.54726,48.03235,19.93,1000.70,40.58,22.64454,70.84306
1713514421,21.56329,48.12848,19.93,1000.64,40.42,22.64454,70.79423
1713514431,21.53391,48.09033,19.94,1000.68,40.46,22.64454,70.79423
1713514441,21.54726,48.00793,19.94,1000.71,40.49,22.64454,70.67216
1713514451,21.54726,47.94995,19.93,1000.73,40.50,22.72511,70.62333
1713514461,21.53391,47.92248,19.93,1000.72,40.58,22.80568,70.52567
1713514471,21.56329,47.91638,19.93,1000.70,40.60,22.64454,70.4036
1713514481,21.54726,47.94995,19.93,1000.62,40.40,22.64454,70.33036
1713514491,21.52056,47.94537,19.93,1000.70,40.45,22.56397,70.25712
1713514501,21.53391,47.93621,19.94,1000.79,40.58,22.72511,70.15946
1713514511,21.54726,47.89959,19.93,1000.73,40.48,22.72511,70.01297
1713514521,21.54726,47.98505,19.94,1000.75,40.53,22.64454,69.98856
1713514531,21.52056,47.88586,19.94,1000.68,40.68,22.72511,69.8909
1713514541,21.54726,47.89959,19.93,1000.68,40.66,22.64454,69.8909
1713514551,21.53391,47.93621,19.93,1000.76,40.66,22.72511,69.8909
1713514561,21.50721,47.93164,19.94,1000.71,40.45,22.72511,69.98856
1713514571,21.52056,47.93469,19.94,1000.75,40.49,22.64454,69.96414
1713514581,21.54726,47.96216,19.95,1000.70,40.49,22.64454,69.96414
1713514591,21.53391,47.93621,19.95,1000.73,40.52,22.72511,69.96414
1713514601,21.53391,47.94842,19.94,1000.77,40.43,22.72511,69.79324
1713514611,21.53391,47.97131,19.95,1000.71,40.54,22.64454,69.76883
1713514621,21.53391,48.05524,19.95,1000.73,40.44,22.72511,69.71999
1713514631,21.54726,48.11475,19.94,1000.64,40.60,22.72511,69.69558
1713514641,21.53391,48.09033,19.95,1000.67,40.48,22.64454,69.69558
1713514651,21.53391,48.07813,19.95,1000.73,40.64,22.80568,69.69558
1713514661,21.52056,48.08728,19.94,1000.64,40.58,22.80568,69.69558
1713514671,21.52056,48.06439,19.96,1000.66,40.59,22.80568,69.74442
1713514681,21.53391,48.07813,19.96,1000.69,40.50,22.72511,69.79324
1713514691,21.53391,48.11322,19.95,1000.56,40.66,22.72511,70.18388
1713514701,21.54726,48.06744,19.96,1000.72,40.51,22.56397,70.35477
1713514711,21.53391,47.99573,19.96,1000.66,40.44,22.64454,70.01297
1713514721,21.53391,48.00488,19.95,1000.57,40.50,22.64454,69.93973
1713514731,21.53391,48.00488,19.96,1000.59,40.39,22.64454,69.42702
1713514741,21.52056,48.03998,19.96,1000.64,40.51,22.72511,69.18288
1713514751,21.54726,48.08118,19.96,1000.62,40.56,22.72511,68.98756
1713514761,21.53391,48.09033,19.97,1000.68,40.56,22.64454,68.79225
1713514771,21.53391,48.01862,19.96,1000.63,40.45,22.64454,68.66866
1713514781,21.52056,48.01709,19.96,1000.63,40.55,22.80568,68.49775
1713514791,21.53391,48.03082,19.95,1000.63,40.60,22.72511,68.42451
1713514801,21.50721,47.96826,19.96,1000.61,40.54,22.72511,68.37568
